title,summary,text,published,source
Failure isn’t the end – it’s where better services begin,"<p>Liz Glidewell explains why failing a GDS service assessment is a normal part of the improvement process – and how she supported the Be Part of Research team through multiple assessments to build a better, more accessible service for their users.</p>

<p>Government and NHS services have a duty to work for everyone, including those with low digital confidence and non-digital users. This is why services need to pass a <a href=""https://www.gov.uk/service-manual/service-assessments"">GDS service assessment</a>.</p>

<p>It’s not unusual for a service to fail its first assessment. But what happens next?</p>","Digital Government and NHS services have a duty to work for everyone, including those with low digital confidence and non-digital users. This is why services need to pass a GDS service assessment. It’s not unusual for a service to fail its first assessment. But what happens next? For the teams involved, it can be tough. While we understand that failing is a source of learning, often there is emotional baggage attached to the term. Many of us feel fear and shame when we ‘fail’ at something, which can limit what we go on to achieve. That’s why I embrace ‘failing higher’ – failing smarter and faster – in my role as a GDS assessor. Failing an assessment does not mean we give up on the service. Instead, it’s an important part of the improvement process. Service assessors give teams constructive, actionable feedback, grounded in the principles of user-centred design (UCD). This supports service teams to iterate and create a better service for everyone. A great example is Be Part of Research (BPOR), which aims to make it easier for health researchers and potential study participants to find one another. Briefly, the BPOR team built a website where researchers could register their studies, making them searchable by the public. The public, in turn, learn more about research projects and can apply to participate. Their first beta service assessment took place in March 2022, but it took 2 more reassessments before the team met all service standards in October 2024. I was part of the assessment team for the second and third assessments. This is how we supported the BPOR team to 'fail higher' and ultimately create a service that better met the needs of all its users. Designing services for a group as diverse as ‘the public’ is challenging. We need to identify all our users and gain a deep understanding of their needs. This is the heartbeat of user centred design.   It is important to map all users who interact with our services, not just end users. Initially, the team conducted research with ‘healthy volunteers’ who prioritised online journeys and also user groups with complex co-morbidities and their carers. They also included public health and social care participants and researchers. They identified their needs to maximise uptake in studies. The team went beyond sampling people with different levels of digital literacy to recognise people ‘under-served by research’, such as those with: The team sampled and screened for these characteristics to build confidence in their findings.   People want seamless journeys. We need to understand users’ needs across their end-to-end journey.   Following assessment, the team mapped out the end-to-end user journey for all their users. They introduced: Users can now learn about research, register, manage their experience and receive study results via the channel works for them, including online, phone, paper or in person. This ensured an equitable experience for everyone. We expect services to work seamlessly, whether we’r","Fri, 12 Sep 2025 12:50:12 GMT",https://digital.nhs.uk/blog/design-matters/2025/failure-isnt-the-end---its-where-better-services-begin
An easier way to manage vaccinations in schools,"<p>Helen Pitts shares a video walk-though of the new Manage vaccinations in schools (Mavis) service, which helps those involved in school vaccinations handle the challenging logistics of vaccinating hundreds of children in a single day.</p>

<p>Manage vaccinations in schools (shortened to Mavis) is a digital service we're building to support vaccination providers around the country, so that they’re easier to manage and more effective.</p>

<p>Vaccination providers visit schools to deliver vaccinations to hundreds of children in a single day. This can require a great deal of planning, preparing, and coordination.&nbsp;</p>","Digital Manage vaccinations in schools (shortened to Mavis) is a digital service we're building to support vaccination providers around the country, so that they’re easier to manage and more effective. Vaccination providers visit schools to deliver vaccinations to hundreds of children in a single day. This can require a great deal of planning, preparing, and coordination.  We've designed Mavis around the needs of the many different people who are involved in school vaccinations. From school administrators, nurses, parents and schoolchildren, everyone has a part to play, and we’ve worked hard to ensure the service works for all of them. It’s not always easy to visualise how one digital service can meet such varied needs. So, we've put together a short video using an anonymised example to show how it all fits together. We've carried out extensive user research with parents, children, nurses and admin staff. Their insights have shaped what the service does and how it works. Mavis aims to address known challenges including variable quality messaging and poor digital experiences. Both can negatively affect vaccination uptake issues  From the first message, “Your child is eligible for vaccination”, to data sharing and reporting, Mavis supports the whole user journey. It brings together parts of the service that are currently scattered across multiple systems and manual processes. It’s accessible for everyone, from medical professionals to families, on any device. No more PDFs buried in school newsletters with QR codes you can't scan! Mavis gives local teams direct control over communication with parents and saves them hours of admin. Parents can easily give consent online, without the hassle of paper forms  Mavis connects with NHS England systems, helping GPs and hospitals view school age vaccinations, reducing reporting workload.  If you have questions or comments, we'd love to hear them. Contact us on [email protected]. Martin Jarvis, Incident Management Lead in our Cyber Security Operations Centre (CSOC), explains how the preparedness of individual NHS organisations, working alongside central response capabilities, forms a protective partnership to keep the NHS safe. Joe and Pete explain the greater emphasis being placed on digital patient messaging across the NHS and the potential to provide a more seamless experience for patients, reduce the number of missed appointments and save the NHS money. Karol Kuczera and Max Marulli De Barletta reflect on their visit to Google’s Accessibility Discovery Centre and how inclusive technology can enable more equitable access to health, education and broader social participation. 
            Last edited: 13 August 2025 3:58 pm
        ","Wed, 13 Aug 2025 14:58:14 GMT",https://digital.nhs.uk/blog/transformation-blog/2025/an-easier-way-to-manage-vaccinations-in-schools
Why we are reinvesting in the NHS prototype kit,"<p>Frankie and Mike explain why we revived the NHS prototype kit, the benefits of prototyping in code and how digital teams in the NHS can get started using it.</p>

<p>The <a href=""http://prototype-kit.service-manual.nhs.uk/"">NHS prototype kit</a>&nbsp;was first developed in 2019 to make it easier for digital teams to rapidly design and test new digital services. It was inspired by the GOV.UK Prototype Kit and builds on the legacy of open-source public-sector design tools in the UK.</p>","Digital The NHS prototype kit was first developed in 2019 to make it easier for digital teams to rapidly design and test new digital services. It was inspired by the GOV.UK Prototype Kit and builds on the legacy of open-source public-sector design tools in the UK. Prototyping is central to delivering good products, platforms, and services. The process enables teams to gain robust insight from users, iterate design work quickly, and reliably deliver value to users. Done well, a design and development process rooted in iterative prototyping saves time and money by reducing the risk that we deliver the wrong thing. There are many tools available to design services, from paper prototypes to visual design drawing software like Figma, Sketch and Illustrator. Each has its benefits and drawbacks. Each can be useful in specific contexts. However, we are choosing to reinvest in the NHS prototype kit as the primary tool for the development of interactive prototypes that can be tested with users. The prototype kit has some big advantages over visual layout tools: For some designers, changing how they work from using visual tools like Figma to designing directly in code can be quite daunting. To make this transition easier, over the past year we've been looking at ways to make the NHS prototype kit easier to learn and use. We have refreshed and updated the website, with a new guide for installing the kit and a step by step tutorial for learning the basics. We’ve also added guidance on how to use the kit with GitHub Codespaces, which lets you run the kit in the cloud without the need to install any software. We’ve improved the kit itself by fixing some longstanding bugs, adding a new ‘reset data’ feature, and updating the page templates. To support our designers in learning how to use the NHS prototype kit, we are developing a new training course which will start in September 2025. If you work for the NHS and are interested, please get in touch. Help us improve The things we’d still like to improve are the process for updating the kit, the error messages produced when you make a typo in your code, and how the kit can best support prototyping for the NHS App and NHS.UK website. The NHS prototype kit is a community project with open-source code, and we welcome contributions from all who are interested in investing in this tool to help us all build better digital services for the NHS. Liz Glidewell explains why failing a GDS service assessment is a normal part of the improvement process – and how she supported the Be Part of Research team through multiple assessments to build a better, more accessible service for their users. Emma Swift and Zuzanna Lito explain how we've updated the NHS service standard to make sure teams building online services are more aware and responsive to the risks of domestic abuse and coercive control. Simon Davis explains how the NHS App team puts users at the heart of digital delivery design by considering accessibility needs at every ","Mon, 21 Jul 2025 13:38:08 GMT",https://digital.nhs.uk/blog/design-matters/2025/why-we-are-reinvesting-in-the-nhs-prototype-kit
A digital-first approach to patient communications,"<p>Joe and Pete explain the greater emphasis being placed on digital patient messaging across the NHS and the potential to provide a more seamless experience for patients, reduce the number of missed appointments and save the NHS money.&nbsp;</p>

<p>This week, the Secretary of State announced the start of our journey to becoming a ""digital first NHS"" – here is what it means for you.</p>

<p>In other aspects of our lives, it's second nature to receive messages digitally. Think online bank statements, email receipts for our online shopping or text messages confirming our home deliveries have arrived. But for various reasons, the NHS has found this challenging, and we still send out millions of letters to patients each year.</p>","Digital This week, the Secretary of State announced the start of our journey to becoming a ""digital first NHS"" – here is what it means for you. In other aspects of our lives, it's second nature to receive messages digitally. Think online bank statements, email receipts for our online shopping or text messages confirming our home deliveries have arrived. But for various reasons, the NHS has found this challenging, and we still send out millions of letters to patients each year. Recognising the need for change, we are working to adopt a digital-first approach, shifting from analogue to digital. The NHS App, text messages and emails will now be the main channels of communication for patients. ‘Digital-first’ patient messaging means using the NHS App, text message and email as the primary way to communicate with patients, relying less on letters. Whether it's an in-app reminder about an appointment or an email with health advice, digital messaging helps reach patients quickly and conveniently. Digital-first does not mean digital-only and we will continue to send letters to patients who need them. At the same time, we are expanding accessible communications such as braille and easy read. We are continually considering how to better reach all patients by ensuring NHS communications are more accessible and inclusive.  The NHS will shift towards using the NHS App as the primary channel for patient communication, followed by text messages, emails and letters. We are initially focusing on areas where we send a high volume of patient communications, such as vaccinations, screening, GP appointment reminders and questionnaires. In the coming year, breast, cervical, and bowel screening communications will all be sent via the NHS App for patients who have the app downloaded and notifications turned on. We will also continue to scale our roll-out to secondary care via patient engagement portals. This means connecting all acute and specialist trusts, and more mental health and community trusts to the NHS App.  In the last year alone, over 88 million messages were read in the NHS App. By the end of March 2026, we are aiming to send over 270 million messages digitally-first via the app.  We have already seen where the use of two-way communications via patient engagement portals and the NHS App is saving valuable clinician time. At Rotherham Hospital, they are sending preoperative triage questionnaires via the NHS App for all patients on surgical waiting lists. In doing so, they found that over a quarter of patients don't need a face-to-face pre-assessment. Instead, they can do a digital pre-assessment via the NHS App, saving 30 to 60 minutes of a nurse’s time.  Patients can be sent preoperative triage questionnaires via the NHS App The NHS App provides a simple and secure way for patients to access a range of NHS services. As the digital ‘front door’ to the NHS, the app is at the forefront of the shift from analogue to digital. To help this, we are continuing to ma","Mon, 09 Jun 2025 09:40:52 GMT",https://digital.nhs.uk/blog/transformation-blog/2025/a-digital-first-approach-to-patient-communications
Designing for inclusion: What we learned at Google,"<p>Karol Kuczera and&nbsp;Max Marulli De Barletta reflect on their visit to Google’s Accessibility Discovery Centre and how inclusive technology can enable more equitable access to health, education and broader social participation.</p>

<p>In today’s NHS, digital tools are central to how we deliver care, share information, and empower people to manage their health. But for those facing barriers to access – whether through disability, language or low digital confidence – these tools can just as easily widen inequalities as reduce them.</p>","Digital In today’s NHS, digital tools are central to how we deliver care, share information, and empower people to manage their health. But for those facing barriers to access – whether through disability, language or low digital confidence – these tools can just as easily widen inequalities as reduce them. Digital exclusion is one of the key factors of inequality in health. It intersects closely with poverty, education, ethnicity, and age. This is why, through the NHS Framework for Action on Digital Inclusion, and the Core20PLUS5 approach, coupled with digital design maturity, we’re committed to ensuring that digital transformation reduces – not reinforces – health inequalities. We’re looking beyond our own sector for models of good practice. Google’s Accessibility Discovery Centre (ADC) in London which inspired our own Accessibility Lab, offers one such example. While the ADC isn’t a health facility, the ethos behind it – creating immersive environments to better understand the needs of people with disabilities – reflects values we’re embedding across the NHS. We’ve applied similar thinking through the creation of our own Accessibility Lab in Leeds. The lab provides an interactive space for staff to explore assistive technologies, understand barriers faced by people with disabilities, and carry out basic accessibility checks. It plays a vital role in supporting teams to build more inclusive, user-centred services from the outset. The ADC brings together assistive technologies designed to support a wide range of access needs, including vision, hearing, mobility, speech and cognitive processing: These technologies are developed in partnership with organisations such as the Royal National Institute of Blind People (RNIB), the Royal National Institute for Deaf People (RNID), and individuals with lived experience. This model of co-production mirrors the user-centred approach we have embedded within NHS digital programmes. Digital transformation is one of the government’s 3 major shifts: moving services from analogue to digital to improve access, efficiency and responsiveness. In line with this shift, digital tools are playing an increasingly central role in how people engage with NHS services. But while digital services offer new opportunities, they must be designed inclusively. Without this, some people – particularly those with learning disabilities, sensory impairments or limited digital confidence – may face significant barriers. Inaccessible digital design doesn’t just create inconvenience; it risks deepening existing inequalities in access to care. That’s why the NHS Framework for Action on Digital Inclusion makes clear that while digital services should be expanded, non-digital options must always be retained to ensure fair and equitable access for all. There are already promising efforts across the NHS to tackle this. Inclusive design principles, user research and service design show that offering alternative routes is vital to equitable dig","Thu, 22 May 2025 13:03:15 GMT",https://digital.nhs.uk/blog/transformation-blog/2025/designing-for-inclusion-what-we-learned-at-google
Mitigating the risks of domestic abuse,"<p>Emma Swift and Zuzanna Lito explain how we've updated the NHS service standard to make sure teams building online services are more aware and responsive to the risks of domestic abuse and coercive control.</p>

<p>The <a href=""http://service-manual.nhs.uk/standards-and-technology/service-standard"">NHS service standard</a>&nbsp;helps teams build and run digital services that meet users’ needs. It's designed to improve patients’ care and experience when engaging with the NHS online.</p>

<p>The service standard has recently undergone some small but significant updates. The new updates are designed to make sure that teams building online services are more aware of and responsive to the risks of domestic abuse and coercive control.</p>","Digital The NHS service standard helps teams build and run digital services that meet users’ needs. It's designed to improve patients’ care and experience when engaging with the NHS online. The service standard has recently undergone some small but significant updates. The new updates are designed to make sure that teams building online services are more aware of and responsive to the risks of domestic abuse and coercive control. Domestic abuse and coercive control are pervasive issues that affect millions of people in England. An estimated 5% of people aged 16 years and over (6.6% of women and 3% of men) experienced domestic abuse in the year ending March 2024. This equates to an estimated 2.3 million adults in England (1.6 million women and 712,000 men).1 Coercive control, a form of psychological abuse, is also common. Perpetrators of domestic abuse and coercive control are increasingly using technology to abuse victims, with 1 in 3 women experiencing online harassment, according to a survey by the charity Refuge.2 Tactics include spreading false information, hacking accounts, using spyware, and tracking with GPS locators. This creates a constant sense of surveillance, leaving victims without privacy or safety. 1 Domestic abuse in England and Wales overview: November 2024 2 Refuge, Unsocial Spaces The need for new guidance became clear during our work to help patients nominate someone to manage their GP health services on their behalf, also known as 'proxy access'. Proxy access can be set up for someone who needs support with booking appointments or ordering prescriptions. Once the GP practice sets it up, the patient’s chosen person can do this via the NHS App. The National Proxy Service has worked hard to make sure that patients are safeguarded and that proxy access is reviewed by GP staff, acting on relevant guidance. As we consider the future of proxy access, it is important now to address the risk of technology-facilitated abuse and minimise this risk in the service design process. We collaborated with a group of user-centred design (UCD) and business analysis colleagues, who volunteered their time. The group has now grown, as more and more people wanted to make a difference. We were also joined by colleagues from NHS England’s domestic abuse and sexual violence programme. The service manual team, who manage the NHS service standard, interviewed service design teams and clinicians about their experience of considering the risks around tech abuse. We held collaborative workshops, consulted researchers in the area and reviewed the guidance that’s available. We decided to introduce some minor changes to the NHS service standard as the first step towards raising awareness and supporting our colleagues in digital product teams in identifying and mitigating the risks. Standard 9 on creating a secure service which protects users’ privacy now says: As we learned, empowering users with the right tools to control and manage their personal data is a k","Wed, 21 May 2025 09:38:33 GMT",https://digital.nhs.uk/blog/design-matters/2025/mitigating-the-risks-of-domestic-abuse
Clinical trials changing lives: one researcher's story,"<p>Professor Matt Sydes, Head of Data-Driven Clinical Trials at NHS England, describes how his personal and professional lives collided when a family member was affected by a rare cancer.</p>

<p>As a statistician and a trialist, I've been involved with researching many different diseases and conditions over the years. I’ve planned and run studies, analysed data, and interpreted and disseminated findings from clinical trials to support the development of new treatments and interventions, all to help doctors and patients make the best healthcare decisions that improve and extend lives.</p>","Digital As a statistician and a trialist, I've been involved with researching many different diseases and conditions over the years. I’ve planned and run studies, analysed data, and interpreted and disseminated findings from clinical trials to support the development of new treatments and interventions, all to help doctors and patients make the best healthcare decisions that improve and extend lives. In my roles I don’t interact directly with the participants in trials, but I always think about their contribution in the research and the data they provide. Having this perspective is one of the reasons I agreed to serve on the Ethics Committee and research funding panels. It’s why I chose to be randomised as a healthy member of the public into the INTERVAL trial of blood donation frequency and why, like millions of others, I take part in research through Our Future Health. I always figured at some point I’d be up close and personal to the participation side of randomised controlled trial of treatments, but it happened sooner than I expected and in a very different way. When my son was a teenager, he developed a lump on his back. On examination, our local GP immediately sent him for further tests. I’d just finished teaching a course in Edinburgh and was heading home to Cambridgeshire when I got a call from my wife telling me to come directly to the hospital where our son had been admitted. Those tests led to the news no parent ever wants to hear: our son had a rare, life-threatening cancer. The world crashed around us all. This was about a decade ago and, as a spoiler alert, he’s doing great. When he was diagnosed, there was a randomised controlled trial open to test interventions for people with his condition. I knew this because, in an awful coincidence, his cancer was in an area I had been involved with researching for the past 10 years. My son was old enough to drive decisions about whether to participate, but not legally old enough to sign his own consent form. I would have supported his decision either way, but I’m proud he chose to participate, knowing that it might help people like him in the future but not necessarily him directly. One scary Saturday afternoon, as we all sat together in the paediatric ward with his oncologist, I signed the consent form for his participation. Like many clinical trials in real life, this wasn’t testing a bright and shiny new drug. It was a trial looking at which existing treatment regime would be more effective to treat his condition. The approach more commonly used in Europe was being compared to the approach more commonly used in North America. Both treatments were known to work well for many (but not all) people. Both would involve 8 months of treatment with chemotherapy, radiotherapy and surgery, and about 100 nights in hospital. We had no idea if the regime my son was allocated to would be the one which proved more effective or not, we just hoped he would do well – and the data would help others. My son ","Mon, 19 May 2025 10:14:35 GMT",https://digital.nhs.uk/blog/data-points-blog/2025/clinical-trials-changing-lives-one-researchers-story
Making sure the NHS App works for everyone,"<p>Simon Davis explains how the NHS App team puts users at the heart of digital delivery design by considering accessibility needs at every stage of the user research process.</p>

<p>As the lead user researcher for the NHS App, my role is to ensure users remain at the centre of everything we do. I work with a talented team of researchers across different departments, engaging with both the public and frontline NHS staff to understand their experiences with our services.</p>","Digital As the lead user researcher for the NHS App, my role is to ensure users remain at the centre of everything we do. I work with a talented team of researchers across different departments, engaging with both the public and frontline NHS staff to understand their experiences with our services. We're not just interested in what users want – we need to understand the outcomes they're trying to achieve and identify any barriers preventing them from reaching those goals. We’re interested in what users need from our NHS App service. We have recruited users with access needs in community-based research, research with charities and local NHS teams, and in remote research, either one to one or in groups.  Through methods like usability testing, interviews, and card sorting (where participants group and organise content topics to help us understand how they categorise information), we gather valuable insights on both the existing app and prototypes of future developments. Accessibility isn't an afterthought for us – it's built into our process from the beginning. We've set a target that every user research round must include at least one participant with access needs, whether cognitive, visual, physical or auditory. This approach is crucial because it allows us to identify potential barriers early in development. More importantly, it ensures the NHS App genuinely works for all our users. When accessibility is woven into every stage of development, we create a more inclusive service that benefits everyone, including those who may not identify as having an access need but still gain from clearer navigation, simpler language, and more intuitive design. Currently, we're conducting research with people who have rheumatoid arthritis, in collaboration with the National Rheumatoid Arthritis Society (NRAS), as they may struggle with the dexterity required for certain touch interactions on a smartphone. We also have upcoming sessions planned with the Royal National Institute of the Blind (RNIB) and individuals with users who are blind or partially sighted. Our screening processes and surveys are specifically designed to identify participants with diverse accessibility requirements. Working closely with designers is particularly important in our accessibility efforts. We ensure they're informed by our research findings, and we collaborate around designs so we can build appropriate user research around it. We regularly feed accessibility insights back to our design system team, ensuring that the components they create – which all other teams in the NHS App will use – work for users with accessibility needs right from the start. One concrete example of how our accessibility research has made a difference is with the direct appointment booking feature. Our research showed that breaking down multiple questions into separate pages makes completion easier for many users, particularly those using screen readers or with cognitive access needs. We're constantly working ","Wed, 14 May 2025 12:31:18 GMT",https://digital.nhs.uk/blog/design-matters/2025/making-sure-the-nhs-app-works-for-everyone
How to stay one step ahead of a cyber attack,"<p>Ryan Lee explains how our Threat Operations team use a unique network of intelligence and techniques to detect advanced cyber threats before they can cause harm – and what everyone working in the NHS should do to help.</p>

<p>If you worked for the NHS 10 years ago, you would have heard cyber security spoken about quite differently. It was often seen as an IT issue, lumped into conversations about software updates and internet usage. Now, <a href=""https://digital.nhs.uk/feed/cyber-security-is-a-patient-safety-issue"">cyber is rightly understood to be a patient safety issue</a>.</p>

<p>As the cyber threat has become more sophisticated, so has our cyber security approach for the NHS. We have evolved significantly in recent years in response to the growing threat. My team’s specialist work in threat operations is one example of this, and just one part of our central cyber security defence approach.</p>","Digital If you worked for the NHS 10 years ago, you would have heard cyber security spoken about quite differently. It was often seen as an IT issue, lumped into conversations about software updates and internet usage. Now, cyber is rightly understood to be a patient safety issue. As the cyber threat has become more sophisticated, so has our cyber security approach for the NHS. We have evolved significantly in recent years in response to the growing threat. My team’s specialist work in threat operations is one example of this, and just one part of our central cyber security defence approach. The NHS is one of the world’s largest employers and holds some of the world’s largest IT infrastructure. NHSmail is Microsoft’s largest Office 365 tenant, and within our security tooling we encompass around 5.6 million devices. Every single one holds the potential to access sensitive data, which is essential for NHS colleagues to do their jobs, and valuable to those who may wish to do us harm. This vast network is what makes the NHS so attractive to cyber criminals, who can range from advanced cybercrime and more sophisticated threat groups operating across the globe, to opportunistic hackers simply looking for weaknesses to exploit. Whether the motive is disruption, profit, or something else entirely, cyber attacks have the potential to halt patient care or damage public trust in us to safeguard their data. This means we must stay one step ahead of the attackers to make sure that ambulances can pick up patients, that clinical operations happen, that people can get a GP appointment when they need one, and so much more. Our Threat Operations team specialises in the detection of cyber security threats to UK health and social care. Our mission is to proactively detect and inform on advanced cyber threats before they can cause harm to our organisations. Threat operations consists of 2 pillars  – threat intelligence and threat hunting – which produce an array of specialist, threat-led capabilities to enhance security monitoring and response. Our dedicated threat intelligence team has built up a robust network of intelligence sources. We continually analyse this intelligence to identify new and developing threats to the healthcare system. We share our findings with leaders and technical teams throughout the NHS to help us respond collectively. Think of us as knowledgeable partners, here to help individual NHS organisations make the best cyber security decisions. To gather the best intelligence, we centrally inject intelligence feeds into our security tools, generated from commercial, curated open source, and our own bespoke threat intelligence insights. We also provide darknet and credential compromise monitoring and undertake intense study of how threat actors are operating. To share our findings, we offer the healthcare system strategic products and tactical intelligence, and advice on the best ways to mitigate emerging threats and use modelling tools to predict ","Wed, 04 Jun 2025 07:36:03 GMT",https://digital.nhs.uk/blog/transformation-blog/2024/how-to-stay-one-step-ahead-of-a-cyber-attack
How we’re modernising electronic prescribing,"<p>Most prescriptions are still paper-based in secondary care. Business analyst Andy Harrison describes the technical groundwork we’ve laid to allow these settings to go digital.</p>

<p>The little green FP10 paper prescriptions have all but disappeared in primary care. 18 years ago, we <a href=""https://webarchive.nationalarchives.gov.uk/ukgwa/20250507055553/https://digital.nhs.uk/features"">launched the Electronic Prescription Service</a> (EPS)&nbsp;and it has since become an indispensable tool for primary care teams. Nearly all GP practices use it and about 95% of primary care prescriptions are now sent electronically. Last year, that amounted to 1 billion items dispensed using the service. It’s a safer, faster and more convenient way to prescribe.</p>","Digital The little green FP10 paper prescriptions have all but disappeared in primary care. 18 years ago, we launched the Electronic Prescription Service (EPS) and it has since become an indispensable tool for primary care teams. Nearly all GP practices use it and about 95% of primary care prescriptions are now sent electronically. Last year, that amounted to 1 billion items dispensed using the service. It’s a safer, faster and more convenient way to prescribe. But despite all our gains in primary care, there are only a handful of secondary care providers who currently use the service. Patients who require secondary care prescriptions sometimes need to travel to outpatient clinics to collect them, and it’s not unheard of for clinicians to have to drop off paper prescriptions in person. But before secondary care providers can start using it, we had to modernise: the underlying technology of EPS hadn’t changed much since it was launched in 2005. In 2020, we began to move EPS from the HL7v3 data standard to the Fast Healthcare Interoperability Resources (FHIR) standard, as a significant first step in modernising the EPS platform in England. The aim of this project was to improve interoperability by enabling more efficient and accurate processing of electronic prescriptions through the exchange of more detailed and structured clinical information between the electronic prescribing and medicines administration (EPMA) systems used in secondary care and EPS. This improves patient safety and ensures healthcare providers have access to accurate information. In the first stage, this modernisation has taken the form of a FHIR façade, which sits in front of the HL7v3 service and allows suppliers to interact with EPS in FHIR in the same way they do in HL7v3. This means suppliers will be able to use HL7v3 and FHIR interchangeably. For example, a prescriber can create a prescription with HL7v3 and a dispenser can release that prescription in FHIR. The expertise of the interoperability team has helped in moving from HL7v3 to FHIR. This included modelling the interactions within EPS using FHIR resources, mapping all data elements required in the HL7v3 Message Implementation Manual (MIM) to data elements in FHIR and creating an implementation guide to be used by both suppliers and the EPS programme in developing the FHIR façade. Development work on the FHIR façade for EPS is now complete with the first supplier ready to go live imminently. ‘First of type’ suppliers are currently assessing their capability against the EPS Supplier Conformance Assessment List (SCAL). Once the FHIR API is released, any new system suppliers that wish to connect to EPS will be onboarded with the FHIR API as part of their onboarding process with the NHS. The onboarding process involves demonstrating that they can communicate with the EPS FHIR API and can consume and interpret FHIR messages correctly. The EPS team is continuing to expand the capability within EPS to support dental prescr","Thu, 17 Jul 2025 14:32:05 GMT",https://digital.nhs.uk/blog/tech-talk/2023/how-were-modernising-electronic-prescribing
Our new approach to migrating Spine to the cloud,"<p>Mark Burton, Lead Delivery Manager for the Spine Futures programme, explains why we’re accelerating the migration of Spine services into the cloud and why we need NHS organisations and healthcare suppliers to support the move.</p>

<p>In the decade since the <a href=""https://digital.nhs.uk/feed/spine-copy-test"">NHS Spine</a>&nbsp;was launched, digital health and care services have become significantly larger, much more complex and more central to NHS provision. The Spine platform provides critical healthcare infrastructure and we must modernise to keep up with the demands being placed on it.</p>","Digital In the decade since the NHS Spine was launched, digital health and care services have become significantly larger, much more complex and more central to NHS provision. The Spine platform provides critical healthcare infrastructure and we must modernise to keep up with the demands being placed on it. I’ve previously talked about how migrating NHS Spine to the cloud will provide a secure, adaptable, and sustainable infrastructure for the health and care system. But this is a huge undertaking: it will be one of the largest cloud migrations that the NHS has ever undertaken. My team’s challenge is how to migrate Spine’s 36 national services to the cloud. They are hosted on more than 360 servers across 2 UK datacentres and contain more than 1.2 petabytes of data. The migration must be achieved with zero down-time to ensure availability and continuity of services for all end users. Back in April 2022, when the Spine Futures programme began, our initial plan was to migrate each Spine service to the cloud, transforming it where appropriate, to make best use of cloud technology and build independence between products and services.  The Message Exchange for Social Care and Health (MESH) service was the first migration using this approach, and it went live in December last year. MESH was chosen as a relatively simple service, with minimal dependencies on other Spine systems. However, MESH proved significantly more challenging and complex than was first thought and continuing this approach for the remaining services would not be achievable within the 3-year programme. In order to reduce the risk of multiple complex transition steps for each Spine product and accelerate the move to cloud, we plan on migrating all services together in one go and re-hosting them into AWS (Amazon Web Service) to run in EC2 instances. The live services cut over is due to start in October and conclude in early November 2023.  Once migrated, we will have opportunity to optimise Spine in the cloud and leverage the benefits of cloud native tools to help decouple and improve the services. Early in the planning phase of the migration we agreed 2 simple, but fundamental principles that we need to follow for the migration to be successful: NHS Spine is a critical national service that health and care organisations depend on. To help ensure a successful migration to AWS Cloud, we have planned a 2-month period of connectivity and regression testing, starting on 1 July until 31 August 2023. This will be undertaken in the Spine integration environment. We’re asking connecting organisations to take part and test their application’s connectivity and message responses to assure that there is no impact to the organisation or their customers. Organisations should validate that their applications can continue to connect to Spine and that inbound messages and receipt of outbound asynchronous messages are unaffected. Testing should include services like Personal Demographic Service (PDS), Sum","Thu, 10 Jul 2025 09:35:57 GMT",https://digital.nhs.uk/blog/tech-talk/2023/our-new-approach-to-migrating-spine-to-the-cloud
